Date : 2023-06-21 21:43:09
Directory : c:\Users\nico\Desktop\G6VP\G6VP
Total : 1436 files,  306930 codes, 6444 comments, 14143 blanks, all 327517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| packages\gi-assets-algorithm\src\NodesSimilarity\locale                                                                          |          3 |         72 |          1 |         11 |         84 |
| packages\gi-assets-algorithm\src\PatternMatch                                                                                    |         17 |      3,126 |        105 |        241 |      3,472 |
| packages\gi-assets-algorithm\src\PatternMatch (Files)                                                                            |         14 |      2,974 |        104 |        228 |      3,306 |
| packages\gi-assets-algorithm\src\PatternMatchSimple                                                                              |          6 |        377 |         95 |         32 |        504 |
| packages\gi-assets-algorithm\src\PatternMatch\locale                                                                             |          3 |        152 |          1 |         13 |        166 |
| packages\gi-assets-algorithm\src\types                                                                                           |          1 |          3 |          0 |          1 |          4 |
| packages\gi-assets-algorithm\src\utils                                                                                           |          6 |        320 |         39 |         29 |        388 |
| packages\gi-assets-basic                                                                                                         |        384 |     16,381 |        888 |      1,687 |     18,956 |
| packages\gi-assets-basic (Files)                                                                                                 |          6 |        212 |          0 |         46 |        258 |
| packages\gi-assets-basic\src                                                                                                     |        378 |     16,169 |        888 |      1,641 |     18,698 |
| packages\gi-assets-basic\src (Files)                                                                                             |          1 |          6 |          0 |          1 |          7 |
| packages\gi-assets-basic\src\components                                                                                          |        313 |     12,563 |        666 |      1,422 |     14,651 |
| packages\gi-assets-basic\src\components (Files)                                                                                  |          3 |        164 |         30 |         10 |        204 |
| packages\gi-assets-basic\src\components\ActivateRelations                                                                        |          8 |        542 |         44 |         51 |        637 |
| packages\gi-assets-basic\src\components\CanvasSetting                                                                            |          6 |        237 |         15 |         25 |        277 |
| packages\gi-assets-basic\src\components\ChartAnalysis                                                                            |          8 |        490 |         27 |         56 |        573 |
| packages\gi-assets-basic\src\components\ChartAnalysis (Files)                                                                    |          5 |        196 |          0 |         18 |        214 |
| packages\gi-assets-basic\src\components\ChartAnalysis\Charts                                                                     |          3 |        294 |         27 |         38 |        359 |
| packages\gi-assets-basic\src\components\ClearCanvas                                                                              |          5 |         65 |          1 |         15 |         81 |
| packages\gi-assets-basic\src\components\CommonNeighbor                                                                           |          4 |        173 |         21 |         18 |        212 |
| packages\gi-assets-basic\src\components\ContentContainer                                                                         |          4 |         78 |          2 |         14 |         94 |
| packages\gi-assets-basic\src\components\ContextMenu                                                                              |          7 |        267 |         15 |         47 |        329 |
| packages\gi-assets-basic\src\components\Copyright                                                                                |          6 |         96 |          0 |         17 |        113 |
| packages\gi-assets-basic\src\components\CreateCombo                                                                              |          4 |         59 |          0 |         11 |         70 |
| packages\gi-assets-basic\src\components\DownLoad                                                                                 |          5 |         57 |          1 |         12 |         70 |
| packages\gi-assets-basic\src\components\Export                                                                                   |          4 |         67 |          1 |         13 |         81 |
| packages\gi-assets-basic\src\components\FilterPanel                                                                              |         16 |      1,576 |        115 |        165 |      1,856 |
| packages\gi-assets-basic\src\components\FilterPanel (Files)                                                                      |          9 |      1,076 |         88 |         98 |      1,262 |
| packages\gi-assets-basic\src\components\FilterPanel\Charts                                                                       |          7 |        500 |         27 |         67 |        594 |
| packages\gi-assets-basic\src\components\FitCenter                                                                                |          5 |         64 |          1 |         12 |         77 |
| packages\gi-assets-basic\src\components\FitCenterView                                                                            |          5 |         70 |          1 |         14 |         85 |
| packages\gi-assets-basic\src\components\FitView                                                                                  |          5 |         67 |          1 |         13 |         81 |
| packages\gi-assets-basic\src\components\ForceSimulation                                                                          |          5 |        119 |          1 |         22 |        142 |
| packages\gi-assets-basic\src\components\GrailLayout                                                                              |         11 |        564 |          6 |         68 |        638 |
| packages\gi-assets-basic\src\components\GrailLayout (Files)                                                                      |          6 |        457 |          5 |         47 |        509 |
| packages\gi-assets-basic\src\components\GrailLayout\Containers                                                                   |          5 |        107 |          1 |         21 |        129 |
| packages\gi-assets-basic\src\components\GroupBar                                                                                 |         11 |        865 |          5 |         16 |        886 |
| packages\gi-assets-basic\src\components\GroupBar (Files)                                                                         |          9 |        780 |          5 |         16 |        801 |
| packages\gi-assets-basic\src\components\GroupBar\OperatorItem                                                                    |          2 |         85 |          0 |          0 |         85 |
| packages\gi-assets-basic\src\components\Initializer                                                                              |          4 |        189 |         16 |         17 |        222 |
| packages\gi-assets-basic\src\components\LassoSelect                                                                              |          5 |        151 |          4 |         13 |        168 |
| packages\gi-assets-basic\src\components\LayoutSwitch                                                                             |          4 |        123 |         12 |         16 |        151 |
| packages\gi-assets-basic\src\components\Loading                                                                                  |          6 |         68 |          1 |         15 |         84 |
| packages\gi-assets-basic\src\components\MiniMap                                                                                  |          3 |         35 |          1 |          8 |         44 |
| packages\gi-assets-basic\src\components\NeighborsQuery                                                                           |          5 |        255 |         17 |         34 |        306 |
| packages\gi-assets-basic\src\components\NodeLegend                                                                               |          5 |        112 |          0 |         20 |        132 |
| packages\gi-assets-basic\src\components\OperatorBar                                                                              |          5 |        134 |          4 |         19 |        157 |
| packages\gi-assets-basic\src\components\OperatorHeader                                                                           |          7 |        529 |         28 |         43 |        600 |
| packages\gi-assets-basic\src\components\OverView                                                                                 |          8 |        357 |          9 |         45 |        411 |
| packages\gi-assets-basic\src\components\PathAnalysis                                                                             |          9 |        604 |         18 |         52 |        674 |
| packages\gi-assets-basic\src\components\PinNodeWithMenu                                                                          |          3 |        102 |         12 |         17 |        131 |
| packages\gi-assets-basic\src\components\Placeholder                                                                              |          6 |        121 |          0 |         16 |        137 |
| packages\gi-assets-basic\src\components\PropertiesPanel                                                                          |         13 |        598 |         15 |         90 |        703 |
| packages\gi-assets-basic\src\components\PropertiesPanel (Files)                                                                  |          8 |        409 |         15 |         52 |        476 |
| packages\gi-assets-basic\src\components\PropertiesPanel\Statistic                                                                |          5 |        189 |          0 |         38 |        227 |
| packages\gi-assets-basic\src\components\PropertiesPanel\Statistic (Files)                                                        |          3 |        137 |          0 |         24 |        161 |
| packages\gi-assets-basic\src\components\PropertiesPanel\Statistic\Charts                                                         |          2 |         52 |          0 |         14 |         66 |
| packages\gi-assets-basic\src\components\PropertyGraphInitializer                                                                 |          4 |         37 |          2 |         10 |         49 |
| packages\gi-assets-basic\src\components\RemoveNodeWithMenu                                                                       |          6 |        138 |         11 |         12 |        161 |
| packages\gi-assets-basic\src\components\Sankey                                                                                   |          4 |         95 |          0 |         15 |        110 |
| packages\gi-assets-basic\src\components\Save                                                                                     |          5 |        126 |          3 |         18 |        147 |
| packages\gi-assets-basic\src\components\SegmentedLayout                                                                          |          7 |        241 |          7 |         34 |        282 |
| packages\gi-assets-basic\src\components\SelectExchangeMenuItem                                                                   |          5 |         79 |          4 |         15 |         98 |
| packages\gi-assets-basic\src\components\SideSelectTabs                                                                           |          6 |        276 |          5 |         34 |        315 |
| packages\gi-assets-basic\src\components\SideTabs                                                                                 |          9 |        488 |         61 |         51 |        600 |
| packages\gi-assets-basic\src\components\ToggleClusterWithMenu                                                                    |          3 |        180 |         57 |         23 |        260 |
| packages\gi-assets-basic\src\components\Toolbar                                                                                  |          7 |        173 |         13 |         27 |        213 |
| packages\gi-assets-basic\src\components\Tooltip                                                                                  |          7 |        159 |         19 |         19 |        197 |
| packages\gi-assets-basic\src\components\TooltipForEdge                                                                           |          7 |        159 |         14 |         20 |        193 |
| packages\gi-assets-basic\src\components\UIComponents                                                                             |          5 |        278 |          6 |         13 |        297 |
| packages\gi-assets-basic\src\components\UIComponents (Files)                                                                     |          1 |         16 |          0 |          4 |         20 |
| packages\gi-assets-basic\src\components\UIComponents\DivContainer                                                                |          2 |        140 |          6 |          8 |        154 |
| packages\gi-assets-basic\src\components\UIComponents\Panel                                                                       |          2 |        122 |          0 |          1 |        123 |
| packages\gi-assets-basic\src\components\UadLayout                                                                                |          6 |        245 |          1 |         23 |        269 |
| packages\gi-assets-basic\src\components\Watermark                                                                                |          5 |        411 |         13 |         41 |        465 |
| packages\gi-assets-basic\src\components\ZoomIn                                                                                   |          5 |         57 |          0 |         13 |         70 |
| packages\gi-assets-basic\src\components\ZoomOut                                                                                  |          5 |         57 |          0 |         13 |         70 |
| packages\gi-assets-basic\src\components\ZoomStatus                                                                               |          5 |         91 |          1 |          8 |        100 |
| packages\gi-assets-basic\src\components\common                                                                                   |          2 |         96 |          9 |          9 |        114 |
| packages\gi-assets-basic\src\components\types                                                                                    |          1 |          3 |          0 |          1 |          4 |
| packages\gi-assets-basic\src\components\utils                                                                                    |          4 |        176 |         16 |         19 |        211 |
| packages\gi-assets-basic\src\elements                                                                                            |         15 |      1,244 |         56 |         83 |      1,383 |
| packages\gi-assets-basic\src\elements (Files)                                                                                    |          1 |          4 |          0 |          2 |          6 |
| packages\gi-assets-basic\src\elements\DonutNode                                                                                  |          5 |        147 |          7 |         18 |        172 |
| packages\gi-assets-basic\src\elements\SimpleEdge                                                                                 |          4 |        515 |         26 |         28 |        569 |
| packages\gi-assets-basic\src\elements\SimpleNode                                                                                 |          5 |        578 |         23 |         35 |        636 |
| packages\gi-assets-basic\src\layouts                                                                                             |         40 |      1,619 |        119 |        104 |      1,842 |
| packages\gi-assets-basic\src\layouts (Files)                                                                                     |          1 |         10 |          2 |          1 |         13 |
| packages\gi-assets-basic\src\layouts\Circular                                                                                    |          4 |         70 |          2 |          7 |         79 |
| packages\gi-assets-basic\src\layouts\ClusteringDagre                                                                             |          3 |        464 |         57 |         33 |        554 |
| packages\gi-assets-basic\src\layouts\Concentric                                                                                  |          4 |         77 |          2 |          6 |         85 |
| packages\gi-assets-basic\src\layouts\Dagre                                                                                       |          4 |         80 |          2 |          7 |         89 |
| packages\gi-assets-basic\src\layouts\Force2                                                                                      |          4 |        504 |         14 |         10 |        528 |
| packages\gi-assets-basic\src\layouts\FundForce                                                                                   |          4 |         65 |          2 |          9 |         76 |
| packages\gi-assets-basic\src\layouts\GraphinForce                                                                                |          4 |        155 |         14 |          7 |        176 |
| packages\gi-assets-basic\src\layouts\Grid                                                                                        |          4 |         61 |          2 |          7 |         70 |
| packages\gi-assets-basic\src\layouts\Radial                                                                                      |          4 |         80 |          2 |          7 |         89 |
| packages\gi-assets-basic\src\layouts\Random                                                                                      |          4 |         53 |         20 |         10 |         83 |
| packages\gi-assets-basic\src\services                                                                                            |          6 |        357 |         46 |         19 |        422 |
| packages\gi-assets-basic\src\templates                                                                                           |          3 |        380 |          1 |         12 |        393 |
| packages\gi-assets-galaxybase                                                                                                    |         42 |      3,601 |        164 |        204 |      3,969 |
| packages\gi-assets-galaxybase (Files)                                                                                            |          7 |        194 |         30 |         64 |        288 |
| packages\gi-assets-galaxybase\src                                                                                                |         35 |      3,407 |        134 |        140 |      3,681 |
| packages\gi-assets-galaxybase\src (Files)                                                                                        |          2 |          2 |          0 |          2 |          4 |
| packages\gi-assets-galaxybase\src\components                                                                                     |          8 |        296 |          2 |         42 |        340 |
| packages\gi-assets-galaxybase\src\components (Files)                                                                             |          1 |          2 |          0 |          1 |          3 |
| packages\gi-assets-galaxybase\src\components-ui                                                                                  |          9 |        146 |          1 |         22 |        169 |
| packages\gi-assets-galaxybase\src\components-ui (Files)                                                                          |          1 |          2 |          0 |          1 |          3 |
| packages\gi-assets-galaxybase\src\components-ui\ActionList                                                                       |          2 |         23 |          0 |          4 |         27 |
| packages\gi-assets-galaxybase\src\components-ui\CollapseCard                                                                     |          2 |         52 |          1 |          6 |         59 |
| packages\gi-assets-galaxybase\src\components-ui\ContainerHeader                                                                  |          2 |         31 |          0 |          7 |         38 |
| packages\gi-assets-galaxybase\src\components-ui\Navbar                                                                           |          2 |         38 |          0 |          4 |         42 |
| packages\gi-assets-galaxybase\src\components\DataManage                                                                          |          7 |        294 |          2 |         41 |        337 |
| packages\gi-assets-galaxybase\src\components\DataManage (Files)                                                                  |          4 |         46 |          0 |         12 |         58 |
| packages\gi-assets-galaxybase\src\components\DataManage\DataImport                                                               |          2 |        221 |          2 |         23 |        246 |
| packages\gi-assets-galaxybase\src\components\DataManage\DataSchema                                                               |          1 |         27 |          0 |          6 |         33 |
| packages\gi-assets-galaxybase\src\pages                                                                                          |          6 |      2,310 |         22 |         23 |      2,355 |
| packages\gi-assets-galaxybase\src\pages (Files)                                                                                  |          5 |        841 |         22 |         22 |        885 |
| packages\gi-assets-galaxybase\src\pages\constants                                                                                |          1 |      1,469 |          0 |          1 |      1,470 |
| packages\gi-assets-galaxybase\src\services                                                                                       |         10 |        653 |        109 |         51 |        813 |
| packages\gi-assets-galaxybase\src\services (Files)                                                                               |          5 |        207 |        108 |         17 |        332 |
| packages\gi-assets-galaxybase\src\services\ServerComponent                                                                       |          5 |        446 |          1 |         34 |        481 |
| packages\gi-assets-graphscope                                                                                                    |         27 |      1,030 |         31 |        113 |      1,174 |
| packages\gi-assets-graphscope (Files)                                                                                            |          7 |        127 |         25 |         24 |        176 |
| packages\gi-assets-graphscope\src                                                                                                |         20 |        903 |          6 |         89 |        998 |
| packages\gi-assets-graphscope\src (Files)                                                                                        |          2 |          2 |          0 |          3 |          5 |
| packages\gi-assets-graphscope\src\components                                                                                     |         12 |        751 |          4 |         68 |        823 |
| packages\gi-assets-graphscope\src\components (Files)                                                                             |          1 |          0 |          0 |          1 |          1 |
| packages\gi-assets-graphscope\src\components\ExecAlgorithmPanel                                                                  |          5 |        333 |          2 |         26 |        361 |
| packages\gi-assets-graphscope\src\components\ServerComponent                                                                     |          6 |        418 |          2 |         41 |        461 |
| packages\gi-assets-graphscope\src\services                                                                                       |          6 |        150 |          2 |         18 |        170 |
| packages\gi-assets-hugegraph                                                                                                     |         16 |        417 |         64 |         54 |        535 |
| packages\gi-assets-hugegraph (Files)                                                                                             |          7 |        126 |         25 |         24 |        175 |
| packages\gi-assets-hugegraph\src                                                                                                 |          9 |        291 |         39 |         30 |        360 |
| packages\gi-assets-hugegraph\src (Files)                                                                                         |          1 |          2 |          0 |          2 |          4 |
| packages\gi-assets-hugegraph\src\services                                                                                        |          8 |        289 |         39 |         28 |        356 |
| packages\gi-assets-janusgraph                                                                                                    |         13 |        299 |         28 |         47 |        374 |
