Date : 2023-06-21 21:43:09
Directory : c:\Users\nico\Desktop\G6VP\G6VP
Total : 1436 files,  306930 codes, 6444 comments, 14143 blanks, all 327517 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\CHANGELOG.md                                                             | Markdown           |          7 |          0 |          7 |         14 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\Dockerfile                                                               | Docker             |          8 |          5 |          5 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\README.md                                                                | Markdown           |         18 |          0 |         13 |         31 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\dataset.ts                                                | TypeScript         |         96 |          9 |         11 |        116 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\graphcompute.ts                                           | TypeScript         |         73 |         30 |         19 |        122 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\graphinsight.ts                                           | TypeScript         |         68 |          7 |          9 |         84 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\graphscope.ts                                             | TypeScript         |         41 |         15 |         12 |         68 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\gremlin.ts                                                | TypeScript         |         23 |          3 |          6 |         32 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\home.ts                                                   | TypeScript         |          8 |          0 |          3 |         11 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\hugegraph.ts                                              | TypeScript         |         87 |         16 |         17 |        120 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\neo4j.ts                                                  | TypeScript         |         33 |          9 |         10 |         52 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\template.ts                                               | TypeScript         |         81 |          7 |         10 |         98 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\controller\tugraph.ts                                                | TypeScript         |         56 |         18 |         16 |         90 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\public\index.html                                                    | HTML               |        118 |          1 |          4 |        123 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\public\umi.c8259bfc.css                                              | CSS                |          2 |          0 |          0 |          2 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\public\umi.ebd1e32c.css                                              | CSS                |          2 |          0 |          0 |          2 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\router.ts                                                            | TypeScript         |         58 |         12 |         12 |         82 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\graphcompute.ts                                              | TypeScript         |        697 |         99 |        130 |        926 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\graphinsight\case\bank.ts                                    | TypeScript         |      1,512 |          6 |          8 |      1,526 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\graphinsight\dataset.ts                                      | TypeScript         |        119 |         26 |         13 |        158 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\graphinsight\project.ts                                      | TypeScript         |         55 |         19 |         13 |         87 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\graphinsight\template.ts                                     | TypeScript         |         94 |         13 |         11 |        118 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\graphinsight\typing.ts                                       | TypeScript         |         47 |         13 |          5 |         65 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\graphinsight\utils.ts                                        | TypeScript         |          9 |          0 |          3 |         12 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\graphscope.ts                                                | TypeScript         |        428 |        100 |         51 |        579 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\gremlin.ts                                                   | TypeScript         |        115 |          2 |          8 |        125 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\hugegraph.ts                                                 | TypeScript         |        438 |         31 |         26 |        495 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\neo4j.ts                                                     | TypeScript         |        251 |         36 |         44 |        331 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\serviceInterface.ts                                          | TypeScript         |         15 |          0 |          2 |         17 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\service\tugraph.ts                                                   | TypeScript         |        334 |         34 |         47 |        415 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\tugraph.utils.ts                                                     | TypeScript         |        215 |         28 |         11 |        254 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\util.ts                                                              | TypeScript         |        153 |         18 |         15 |        186 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\view\index.html                                                      | HTML               |        120 |          1 |          4 |        125 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\app\view\tugraph.html                                                    | HTML               |         66 |          1 |          6 |         73 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\config\config.default.ts                                                 | TypeScript         |         38 |         11 |         11 |         60 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\config\config.local.ts                                                   | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\config\config.prod.ts                                                    | TypeScript         |          5 |          0 |          2 |          7 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\config\plugin.ts                                                         | TypeScript         |         13 |          0 |          3 |         16 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\package.json                                                             | JSON               |         72 |          0 |          1 |         73 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-httpservice\tsconfig.json                                                            | JSON with Comments |          8 |          0 |          1 |          9 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-mock-data\cdn\assets.json                                                            | JSON               |        627 |          0 |          1 |        628 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-mock-data\cdn\bank.json                                                              | JSON               |        769 |          0 |          1 |        770 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-mock-data\cdn\donut.json                                                             | JSON               |        139 |          0 |          1 |        140 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-mock-data\cdn\enterprise.json                                                        | JSON               |        298 |          0 |          1 |        299 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-mock-data\cdn\fund-force.json                                                        | JSON               |      1,663 |          0 |          1 |      1,664 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-mock-data\cdn\security-network.json                                                  | JSON               |      6,869 |          0 |          1 |      6,870 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-mock-data\cdn\socal-network.json                                                     | JSON               |        118 |          0 |          1 |        119 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-mock-data\package.json                                                               | JSON               |         22 |          0 |          1 |         23 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\.must.config.js                                                               | JavaScript         |         49 |          1 |          1 |         51 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\.umirc.ts                                                                     | TypeScript         |         40 |          2 |          3 |         45 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\README.md                                                                     | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\package.json                                                                  | JSON               |         36 |          0 |          1 |         37 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\scripts\copy.js                                                               | JavaScript         |         20 |          0 |          2 |         22 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Banner\index.less                                              | Less               |         75 |          0 |          6 |         81 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Banner\index.tsx                                               | TypeScript JSX     |         54 |          3 |          5 |         62 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Feature\index.less                                             | Less               |         47 |          1 |          2 |         50 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Feature\index.tsx                                              | TypeScript JSX     |         26 |          0 |          5 |         31 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Footer\index.less                                              | Less               |         14 |          0 |          1 |         15 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Footer\index.tsx                                               | TypeScript JSX     |         20 |          0 |          3 |         23 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\LanguageSwitch\index.less                                      | Less               |         44 |          1 |          7 |         52 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\LanguageSwitch\index.tsx                                       | TypeScript JSX     |         69 |          0 |          6 |         75 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Navbar\index.less                                              | Less               |        104 |          0 |         16 |        120 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Navbar\index.tsx                                               | TypeScript JSX     |         62 |          8 |          4 |         74 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\Pricing\index.tsx                                              | TypeScript JSX     |          0 |          1 |          1 |          2 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\RoleSwitch\SwitchContainer.tsx                                 | TypeScript JSX     |         23 |          1 |          3 |         27 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\RoleSwitch\index.less                                          | Less               |         26 |          0 |          1 |         27 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\components\RoleSwitch\index.tsx                                           | TypeScript JSX     |         23 |          0 |          3 |         26 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\i18n\index.ts                                                             | TypeScript         |         40 |         36 |          6 |         82 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\i18n\strings\en-US.json                                                   | JSON               |         38 |          0 |          1 |         39 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\i18n\strings\index.d.ts                                                   | TypeScript         |          2 |          0 |          1 |          3 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\i18n\strings\index.js                                                     | JavaScript         |          4 |          0 |          1 |          5 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\i18n\strings\zh-CN.json                                                   | JSON               |         38 |          0 |          1 |         39 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\layouts\index.less                                                        | Less               |         27 |          0 |          1 |         28 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\layouts\index.tsx                                                         | TypeScript JSX     |         17 |          0 |          5 |         22 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\pages\Case\index.less                                                     | Less               |         35 |          0 |          1 |         36 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\pages\Case\index.tsx                                                      | TypeScript JSX     |         50 |          0 |          7 |         57 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\pages\Video\index.tsx                                                     | TypeScript JSX     |         70 |          5 |          6 |         81 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\pages\const.tsx                                                           | TypeScript JSX     |        106 |          0 |         16 |        122 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\pages\document.ejs                                                        | HTML               |         23 |          0 |          5 |         28 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\pages\index.less                                                          | Less               |         61 |          2 |          4 |         67 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-portal\src\pages\index.tsx                                                           | TypeScript JSX     |         47 |          0 |          4 |         51 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\.fatherrc.js                                                                     | JavaScript         |          6 |          3 |          1 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\CHANGELOG.md                                                                     | Markdown           |         30 |          0 |         21 |         51 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\README.md                                                                        | Markdown           |          1 |          0 |          1 |          2 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\package.json                                                                     | JSON               |         49 |          0 |          1 |         50 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\GISDK.tsx                                                                    | TypeScript JSX     |        368 |         29 |         30 |        427 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\Initializer.tsx                                                              | TypeScript JSX     |         67 |          2 |         11 |         80 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\SetupUseGraphinHook.tsx                                                      | TypeScript JSX     |         41 |          1 |          6 |         48 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\SizeSensor.tsx                                                               | TypeScript JSX     |         22 |          0 |          3 |         25 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\CollapseCard\index.less                                           | Less               |         20 |          1 |          1 |         22 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\CollapseCard\index.tsx                                            | TypeScript JSX     |         32 |          0 |          5 |         37 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\EngineBanner.tsx                                                  | TypeScript JSX     |         51 |          0 |          5 |         56 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\EngineServer\Connect.tsx                                          | TypeScript JSX     |         96 |          4 |         11 |        111 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\EngineServer\LoadGraph.tsx                                        | TypeScript JSX     |        219 |          2 |         21 |        242 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\EngineServer\index.less                                           | Less               |          9 |          0 |          1 |         10 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\EngineServer\index.tsx                                            | TypeScript JSX     |         72 |         12 |          5 |         89 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\EngineServer\utils.ts                                             | TypeScript         |         51 |          8 |          4 |         63 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\FitCenterAfterMount.tsx                                           | TypeScript JSX     |         24 |          0 |          1 |         25 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\GIAC.tsx                                                          | TypeScript JSX     |         62 |          1 |          6 |         69 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\components\const.ts                                                          | TypeScript         |        536 |          0 |          8 |        544 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\constants\info.ts                                                            | TypeScript         |         28 |         66 |          4 |         98 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\constants\template.ts                                                        | TypeScript         |        452 |          0 |          5 |        457 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\context.tsx                                                                  | TypeScript JSX     |         32 |          2 |          6 |         40 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\hooks\useComponents.tsx                                                      | TypeScript JSX     |         89 |          6 |         12 |        107 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\index.less                                                                   | Less               |          6 |          0 |          1 |          7 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\index.tsx                                                                    | TypeScript JSX     |         58 |          5 |          2 |         65 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\aggregateEdges.ts                                                    | TypeScript         |         53 |          2 |          8 |         63 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\common.ts                                                            | TypeScript         |        200 |         49 |         18 |        267 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\filterByRules.ts                                                     | TypeScript         |         84 |          5 |         17 |        106 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\findAllPath.ts                                                       | TypeScript         |         77 |          4 |         10 |         91 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getDefSideCoeFunction.ts                                             | TypeScript         |         50 |          0 |          2 |         52 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getDefSpringLenFunction.ts                                           | TypeScript         |         16 |          3 |          2 |         21 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getElementsByAssets.ts                                               | TypeScript         |         51 |          9 |          9 |         69 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getMetaDefaultValues.ts                                              | TypeScript         |         24 |          5 |          1 |         30 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getMockServiceConfig.ts                                              | TypeScript         |         48 |          7 |          3 |         58 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getSchemaGraph.ts                                                    | TypeScript         |         78 |          3 |          5 |         86 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getSearchParams.ts                                                   | TypeScript         |         13 |          5 |          2 |         20 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getServicesByConfig.ts                                               | TypeScript         |         17 |          6 |          3 |         26 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\getWeightedStrength.ts                                               | TypeScript         |         97 |          0 |          5 |        102 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\highlight.ts                                                         | TypeScript         |        126 |         11 |         10 |        147 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\index.ts                                                             | TypeScript         |         40 |          0 |          1 |         41 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\loaderAssets.tsx                                                     | TypeScript JSX     |        148 |          8 |         12 |        168 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\processEdges.ts                                                      | TypeScript         |        104 |         12 |         12 |        128 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\propertyGraph.ts                                                     | TypeScript         |        238 |         31 |         27 |        296 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\schema.ts                                                            | TypeScript         |        274 |         26 |         26 |        326 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\serverEngineContext.ts                                               | TypeScript         |         17 |          8 |          1 |         26 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\services.ts                                                          | TypeScript         |         82 |          9 |          7 |         98 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\process\transDataByConfig.ts                                                 | TypeScript         |         50 |         13 |         12 |         75 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\register.ts                                                                  | TypeScript         |         27 |          8 |          3 |         38 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\src\typing.ts                                                                    | TypeScript         |        319 |         87 |         32 |        438 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-sdk\tsconfig.json                                                                    | JSON with Comments |         19 |          0 |          1 |         20 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\.umirc.ts                                                                       | TypeScript         |        194 |         11 |          6 |        211 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\README.md                                                                       | Markdown           |         10 |          0 |          8 |         18 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\docker\docker-entrypoint.sh                                                     | Shell Script       |          4 |          6 |          3 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\docker\readme.md                                                                | Markdown           |         26 |          0 |         12 |         38 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\package.json                                                                    | JSON               |         85 |          0 |          0 |         85 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\css\gi-theme-antd.ali.css                                                | CSS                |     26,481 |         38 |          2 |     26,521 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\css\gi-theme-antd.dark.css                                               | CSS                |     26,765 |         38 |          2 |     26,805 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\css\gi-theme-antd.green.css                                              | CSS                |     26,512 |         38 |          2 |     26,552 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\css\gi-theme-antd.light.css                                              | CSS                |     26,481 |         38 |          2 |     26,521 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\image\empty.svg                                                          | XML                |          1 |          0 |          0 |          1 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\image\g6vp.dark.svg                                                      | XML                |         60 |          0 |          0 |         60 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\image\g6vp.light.svg                                                     | XML                |         60 |          0 |          0 |         60 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\image\graphinsight.dark.svg                                              | XML                |         58 |          0 |          0 |         58 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\image\graphinsight.light.svg                                             | XML                |         54 |          0 |          0 |         54 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\public\image\logo.svg                                                           | XML                |         13 |          0 |          0 |         13 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\scripts\copy-assets.mjs                                                         | JavaScript         |        113 |          4 |         13 |        130 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\scripts\copy.js                                                                 | JavaScript         |         20 |          1 |          2 |         23 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\scripts\create-assets.mjs                                                       | JavaScript         |         47 |          1 |          6 |         54 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\scripts\deploy.js                                                               | JavaScript         |         22 |          2 |          2 |         26 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\scripts\pre-build.mjs                                                           | JavaScript         |        157 |          5 |         15 |        177 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\ActionList\index.less                                            | Less               |          7 |          0 |          1 |          8 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\ActionList\index.tsx                                             | TypeScript JSX     |         16 |          0 |          3 |         19 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AntGroupLogin\index.tsx                                          | TypeScript JSX     |         26 |          0 |          4 |         30 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsCenter\AllAssets.tsx                                       | TypeScript JSX     |        117 |          0 |          9 |        126 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsCenter\AssetsCenterHandler.tsx                             | TypeScript JSX     |         15 |          0 |          4 |         19 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsCenter\Card.tsx                                            | TypeScript JSX     |         65 |          1 |          6 |         72 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsCenter\Components.tsx                                      | TypeScript JSX     |         87 |          0 |          8 |         95 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsCenter\constants.tsx                                       | TypeScript JSX     |         85 |          0 |          4 |         89 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsCenter\index.less                                          | Less               |        112 |          3 |          9 |        124 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsCenter\index.tsx                                           | TypeScript JSX     |         90 |         51 |         10 |        151 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsCenter\useHook.ts                                          | TypeScript         |         25 |          0 |          2 |         27 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsSelect\index.less                                          | Less               |         39 |          5 |          3 |         47 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\AssetsSelect\index.tsx                                           | TypeScript JSX     |         60 |          0 |          3 |         63 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\BreathIndicator\index.less                                       | Less               |         37 |          0 |          5 |         42 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\BreathIndicator\index.tsx                                        | TypeScript JSX     |         21 |          0 |          4 |         25 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\CollapseCard\index.less                                          | Less               |         20 |          3 |          1 |         24 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\CollapseCard\index.tsx                                           | TypeScript JSX     |         28 |          0 |          5 |         33 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\DataModeCard\index.less                                          | Less               |         11 |         23 |          4 |         38 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\DataModeCard\index.tsx                                           | TypeScript JSX     |         56 |          3 |          4 |         63 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\DataSource\Detail.tsx                                            | TypeScript JSX     |        103 |          0 |         10 |        113 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\DataSource\List.tsx                                              | TypeScript JSX     |         57 |          9 |          6 |         72 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\DataSource\const.ts                                              | TypeScript         |          8 |          0 |          1 |          9 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\DataSource\index.less                                            | Less               |         54 |          0 |          3 |         57 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\DataSource\index.tsx                                             | TypeScript JSX     |         86 |          4 |         13 |        103 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\Empty\index.tsx                                                  | TypeScript JSX     |         30 |          0 |          4 |         34 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\FileServerEngine\ConfigData.tsx                                  | TypeScript JSX     |        149 |          5 |         20 |        174 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\FileServerEngine\ServerComponent.tsx                             | TypeScript JSX     |         56 |          0 |          6 |         62 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\FileServerEngine\UploadLocalFile.tsx                             | TypeScript JSX     |        187 |          1 |         21 |        209 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\FileServerEngine\const.tsx                                       | TypeScript JSX     |         86 |          0 |          3 |         89 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\FileServerEngine\index.less                                      | Less               |         34 |          0 |          4 |         38 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\FileServerEngine\index.tsx                                       | TypeScript JSX     |          9 |          0 |          2 |         11 |
| c:\Users\nico\Desktop\G6VP\G6VP\packages\gi-site\src\components\FileServerEngine\typing.ts                                       | TypeScript         |         28 |          0 |          5 |         33 |
